name,Region,Economy_status_Developed,Life_expectancy,Adult_mortality,Infant_deaths,Alcohol_consumption,percentage expenditure,Hepatitis_B,Measles,BMI,Under_five_deaths,Polio,Total expenditure,Income composition of resources,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling
Afghanistan,Asia,0,63.4,227.735,53.2,0,71.27962,65,1154,19.1,83,6,8.16,0.479,65,0.03,556,34.41,17.2,17.3,3.6
Albania,Rest of Europe,0,78,75.205,8.5,4.33,364.9752,99,0,58,0,99,6,0.762,99,0.03,3953,2.88,1.2,1.3,9.7
Algeria,Africa,0,76.1,95.8155,21.6,0.55,0,95,63,59.5,24,95,0,0.743,95,0.05,4178,39.73,6,5.8,7.9
Angola,Africa,0,59.4,242.9655,57.7,6.53,0,64,118,23.3,98,7,0,0.531,64,0.89,3128,27.88,8.3,8.2,5
Antigua and Barbuda,Central America and Caribbean,0,76.5,130.0025,6.5,9.06,0,99,0,47.7,0,86,0,0.784,99,0.2,14285,0.09,3.3,3.3,9.2
Argentina,South America,0,76.1,117.1895,10.2,8.49,0,94,0,62.8,9,93,0,0.826,94,0.13,13789,43.13,1,0.9,9.8
Armenia,Rest of Europe,0,74.5,125.4875,12.6,4.04,0,94,33,54.9,1,96,0,0.741,94,0.09,3607,2.93,2.1,2.2,11.6
Australia,Oceania,1,82.4,61.7325,3.3,9.68,0,93,74,66.6,1,93,0,0.937,93,0.04,56707,23.82,0.6,0.6,12.8
Austria,European Union,1,81.2,64.6875,3,11.6,0,93,309,57.6,0,93,0,0.892,93,0.08,44196,8.64,1.9,2.1,12.1
Azerbaijan,Asia,0,72.3,124.897,23.3,0.51,0,96,0,52.5,6,98,0,0.758,96,0.05,5500,9.65,2.8,2.9,10.7
Bahamas,Central America and Caribbean,0,73.1,158.589,12,9.27,0,95,0,64.5,0,95,0,0.79,95,0.34,31699,0.37,2.5,2.5,11.1
Bahrain,Middle East,0,76.8,66.684,6.5,1.53,0,98,0,63.6,0,98,0,0.823,98,0.05,22634,1.37,6.2,6.1,9.3
Bangladesh,Asia,0,71.5,129.753,31,0.01,0,97,240,18.3,113,97,0,0.575,97,0.01,1248,156.26,17.9,18.3,5.2
Barbados,Central America and Caribbean,0,78.8,99.0935,13,9.68,0,97,0,54.5,0,97,0,0.794,97,0.28,16559,0.29,3.8,3.7,10.5
Belarus,Rest of Europe,0,73.6,163.872,3.1,9.79,0,99,2,62.3,0,99,0,0.798,99,0.22,5967,9.46,1.9,2,12.2
Belgium,European Union,1,81,71.71,3.3,10.36,0,98,47,63.7,1,99,0,0.895,99,0.08,41008,11.27,1,1,11.7
Belize,Central America and Caribbean,0,74,174.4925,13.2,6.71,0,94,0,5.9,0,94,0,0.706,94,0.4,4805,0.36,3.5,3.4,10.5
Benin,Africa,0,60.6,242.9535,63.2,1.53,0,82,55,25.7,39,78,0,0.481,82,0.33,1077,10.58,6.9,6.8,3.5
Bhutan,Asia,0,70.4,208.003,27.4,0.04,0,99,11,24.5,0,98,0,0.604,99,0.13,2753,0.73,15.4,16,3.1
Bolivia,South America,0,70.3,184.52,25.4,3.15,0,99,0,52.6,10,99,0,0.671,99,0.15,3036,10.87,1.2,1.1,8.7
Bosnia and Herzegovina,Rest of Europe,0,76.9,96.067,5.4,4.9,0,82,1677,55.8,0,74,0,0.747,82,0.08,4730,3.43,2.3,2.3,9
Botswana,Africa,0,67.3,248.595,39.6,6.14,0,95,0,37.9,2,96,0,0.698,95,5.81,6403,2.12,6.4,6.1,9.2
Brazil,South America,0,75,144.3625,14.2,6.63,0,96,214,56.1,47,98,0,0.754,96,0.24,8814,204.47,2.7,2.6,7.6
Brunei Darussalam,Asia,0,75.3,88.093,8.8,0.67,0,99,4,41.2,0,99,0,0.864,99,0.1,31164,0.41,5.7,5.1,9
Bulgaria,European Union,1,74.6,136.0675,6.9,10.89,0,92,0,65.7,1,91,0,0.792,91,0.03,7075,7.18,1.9,1.8,11.8
Burkina Faso,Africa,0,59.9,257.958,59.6,7.03,0,91,99,19.4,61,91,0,0.399,91,0.16,653,18.11,8,7.5,1.4
Burundi,Africa,0,60.1,294.187,46.2,3.99,0,94,9,18.7,31,94,0,0.406,94,0.27,306,10.16,7.3,7.2,2.9
Cabo Verde,Africa,0,72.1,125.149,16.7,4.54,0,83,65,28,79,81,0,0,93,0.26,3043,0.52,6.6,6.6,5.9
Cambodia,Asia,0,68.6,175.654,27.3,3.34,0,96,0,31.3,0,93,0,0.646,89,0.1,1163,15.52,1.9,1.9,4.7
Cameroon,Africa,0,57.6,340.1265,57,4.55,0,89,0,19.6,12,87,0,0.558,84,1.12,1383,23.3,5.6,5.5,6.1
Canada,North America,1,81.9,65.9695,4.7,8,0,84,1809,29,68,83,0,0.514,91,0.1,43596,35.7,0.6,0.5,13.1
